Fiscal Year,Month (abbv),Component,Region,Land Filter,Area of Responsibility,Inbound/Outbound,Count of Seizure Events,Currency Seizures Amount (USD)
2022,APR,Office of Field Operations,Central/Coastal/Other,Other,BALTIMORE FIELD OFFICE,Outbound,1,26043.0
2022,APR,Office of Field Operations,Central/Coastal/Other,Other,CHICAGO FIELD OFFICE,Inbound,3,55052.0
2022,APR,Office of Field Operations,Central/Coastal/Other,Other,CHICAGO FIELD OFFICE,Outbound,3,85822.0
2022,APR,Office of Field Operations,Central/Coastal/Other,Other,HOUSTON FIELD OFFICE,Inbound,8,166400.0
2022,APR,Office of Field Operations,Central/Coastal/Other,Other,HOUSTON FIELD OFFICE,Outbound,11,230901.0
2022,APR,Office of Field Operations,Central/Coastal/Other,Other,LOS ANGELES FIELD OFFICE,Inbound,3,35579.0
2022,APR,Office of Field Operations,Central/Coastal/Other,Other,MIAMI FIELD OFFICE,Inbound,7,251621.62
2022,APR,Office of Field Operations,Central/Coastal/Other,Other,MIAMI FIELD OFFICE,Outbound,3,42210.0
2022,APR,Office of Field Operations,Central/Coastal/Other,Other,NEW YORK FIELD OFFICE,Inbound,1,30037.0
2022,APR,Office of Field Operations,Central/Coastal/Other,Other,PRECLEARANCE FIELD OFFICE,Inbound,16,245422.0
2022,APR,Office of Field Operations,Central/Coastal/Other,Other,SAN FRANCISCO FIELD OFFICE,Inbound,5,67099.0
2022,APR,Office of Field Operations,Central/Coastal/Other,Other,SAN FRANCISCO FIELD OFFICE,Outbound,4,130303.0
2022,APR,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Inbound,1,12552.0
2022,APR,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Other,1,1150.0
2022,APR,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Outbound,8,138569.0
2022,APR,Office of Field Operations,Central/Coastal/Other,Other,TAMPA FIELD OFFICE,Outbound,3,60105.0
2022,APR,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Inbound,1,20758.0
2022,APR,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Inbound,3,53870.0
2022,APR,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Outbound,10,217840.0
2022,APR,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Inbound,4,76795.0
2022,APR,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Outbound,14,235908.0
2022,APR,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Outbound,7,199769.0
2022,APR,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Inbound,12,114299.0
2022,APR,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Outbound,1,12536.0
2022,APR,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Inbound,8,75066.0
2022,APR,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Outbound,5,298302.0
2022,APR,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Inbound,19,13211.0
2022,APR,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Inbound,8,39005.0
2022,APR,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Outbound,3,47794.0
2022,APR,Office of Field Operations,Southwest Border,Other,EL PASO FIELD OFFICE,Inbound,1,2700.0
2022,APR,Office of Field Operations,Southwest Border,Other,LAREDO FIELD OFFICE,Other,1,749.0
2022,APR,Office of Field Operations,Southwest Border,Other,TUCSON FIELD OFFICE,Outbound,1,14028.0
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Other,1,12520.0
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Other,2,11380.0
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Other,4,19501.0
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,RIO GRANDE VALLEY SECTOR,Other,3,430.0
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,SAN DIEGO SECTOR,Other,3,7628.0
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,TUCSON SECTOR,Other,9,25322.0
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,YUMA SECTOR,Other,2,14504.0
2022,AUG,Office of Field Operations,Central/Coastal/Other,Other,ATLANTA FIELD OFFICE,Outbound,1,18657.0
2022,AUG,Office of Field Operations,Central/Coastal/Other,Other,CHICAGO FIELD OFFICE,Inbound,1,13613.0
2022,AUG,Office of Field Operations,Central/Coastal/Other,Other,CHICAGO FIELD OFFICE,Outbound,4,115237.0
2022,AUG,Office of Field Operations,Central/Coastal/Other,Other,HOUSTON FIELD OFFICE,Inbound,8,152517.0
2022,AUG,Office of Field Operations,Central/Coastal/Other,Other,HOUSTON FIELD OFFICE,Outbound,14,309842.0
2022,AUG,Office of Field Operations,Central/Coastal/Other,Other,LOS ANGELES FIELD OFFICE,Inbound,2,40719.0
2022,AUG,Office of Field Operations,Central/Coastal/Other,Other,MIAMI FIELD OFFICE,Inbound,2,35727.0
2022,AUG,Office of Field Operations,Central/Coastal/Other,Other,MIAMI FIELD OFFICE,Outbound,4,191010.0
2022,AUG,Office of Field Operations,Central/Coastal/Other,Other,NEW ORLEANS FIELD OFFICE,Inbound,2,13050.0
2022,AUG,Office of Field Operations,Central/Coastal/Other,Other,NEW YORK FIELD OFFICE,Inbound,3,98822.0
2022,AUG,Office of Field Operations,Central/Coastal/Other,Other,PRECLEARANCE FIELD OFFICE,Inbound,19,436449.0
2022,AUG,Office of Field Operations,Central/Coastal/Other,Other,SAN FRANCISCO FIELD OFFICE,Inbound,3,568307.84
2022,AUG,Office of Field Operations,Central/Coastal/Other,Other,SAN FRANCISCO FIELD OFFICE,Outbound,3,133504.0
2022,AUG,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Other,6,38200.0
2022,AUG,Office of Field Operations,Central/Coastal/Other,Other,SAN JUAN FIELD OFFICE,Outbound,4,783158.0
2022,AUG,Office of Field Operations,Central/Coastal/Other,Other,TAMPA FIELD OFFICE,Outbound,1,20391.0
2022,AUG,Office of Field Operations,Northern Border,Land Only,BOSTON FIELD OFFICE,Inbound,1,1993.0
2022,AUG,Office of Field Operations,Northern Border,Land Only,BUFFALO FIELD OFFICE,Inbound,3,50831.3
2022,AUG,Office of Field Operations,Northern Border,Land Only,BUFFALO FIELD OFFICE,Outbound,1,237318.64
2022,AUG,Office of Field Operations,Northern Border,Land Only,DETROIT FIELD OFFICE,Outbound,1,1097074.0
2022,AUG,Office of Field Operations,Northern Border,Land Only,SEATTLE FIELD OFFICE,Inbound,1,2200.0
2022,AUG,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Inbound,5,111518.0
2022,AUG,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Outbound,1,74597.0
2022,AUG,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Inbound,8,166651.66
2022,AUG,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Outbound,7,196532.0
2022,AUG,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Outbound,4,433080.0
2022,AUG,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Inbound,41,284899.0
2022,AUG,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Outbound,2,129540.0
2022,AUG,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Inbound,9,77995.12
2022,AUG,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Outbound,12,421931.84
2022,AUG,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Inbound,19,29003.3
2022,AUG,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Outbound,2,48456.0
2022,AUG,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Inbound,7,56983.25
2022,AUG,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Outbound,1,6000.0
2022,AUG,Office of Field Operations,Southwest Border,Other,SAN DIEGO FIELD OFFICE,Inbound,2,548.0
2022,AUG,Office of Field Operations,Southwest Border,Other,TUCSON FIELD OFFICE,Outbound,4,53987.0
2022,AUG,U.S. Border Patrol,Northern Border,Land Only,SWANTON SECTOR,Other,2,1758.0
2022,AUG,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Other,1,28537.0
2022,AUG,U.S. Border Patrol,Southwest Border,Land Only,DEL RIO SECTOR,Other,1,12.0
2022,AUG,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Other,2,5800.0
2022,AUG,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Other,3,8242.0
2022,AUG,U.S. Border Patrol,Southwest Border,Land Only,LAREDO SECTOR,Other,1,5971.0
