FY,Month Grouping,Month (abbv),Region,Field Office,State,Port of Entry,Mode of Transportation,Measure Name,Category,Count
2022,Remaining,SEP,Southern Border,TUCSON,AZ,"DOUGLAS, AZ (2601)",Land,Travelers,Pedestrians,61882
2023,Remaining,JAN,Northern Border,SEATTLE,MN,"WARROAD, MN (3423)",Land,Conveyances,Passenger Vehicles,4677
2024,Remaining,SEP,Coastal/Interior,LOS ANGELES,CA,"UPS - (ONTARIO, CA) (2795)",Air,Travelers,Air,59
2024,FYTD,NOV,Northern Border,BOSTON,VT,"BEECHER FALLS, VT (0206)",Land,Travelers,Trucks,700
2022,FYTD,OCT,Northern Border,SEATTLE,ND,"SHERWOOD, ND (3414)",Land,Travelers,Trucks,312
2023,Remaining,JAN,Coastal/Interior,NEW YORK,NJ,NEW YORK/NEWARK AREA (4601),Air,Travelers,Air,474804
2023,FYTD,NOV,Coastal/Interior,NEW ORLEANS,AR,ROGERS MUNICIPAL AIRPORT (2084),Air,Conveyances,Air,14
2023,Remaining,APR,Northern Border,SEATTLE,MN,"LANCASTER, MN (3430)",Land,Travelers,Pedestrians,39
2022,FYTD,NOV,Northern Border,BOSTON,ME,"EASTPORT, ME (0103)",Land,Travelers,Pedestrians,33
2024,Remaining,MAR,Northern Border,SEATTLE,ID,"PORTHILL, ID (3308)",Land,Conveyances,Trucks,120
2024,Remaining,JUL,Coastal/Interior,LOS ANGELES,CA,LOS ANGELES INT ARPT (2720),Air,Travelers,Air,1131983
2023,FYTD,DEC,Northern Border,PORTLAND,CO,EAGLE COUNTY REGNL AIRPT (3385),Air,Travelers,Air,642
2025 (FYTD),FYTD,DEC,Northern Border,SEATTLE,MN,"LANCASTER, MN (3430)",Land,Travelers,Trucks,287
2022,Remaining,JAN,Preclearance,PRECLEARANCE,DC,USCBP OTTAWA PRECLEAR (7929),Air,Conveyances,Air,56
2025 (FYTD),FYTD,DEC,Southern Border,TUCSON,AZ,"SAN LUIS, AZ (2608)",Air,Travelers,Air,130
2023,Remaining,SEP,Coastal/Interior,NEW ORLEANS,AL,"HUNTSVILLE, AL (1910)",Air,Travelers,Air,14
2024,Remaining,MAR,Coastal/Interior,CHICAGO,MO,"ST LOUIS, MO (4503)",Air,Travelers,Air,23331
2024,FYTD,OCT,Northern Border,SEATTLE,MT,"PIEGAN, MT (3316)",Land,Travelers,Pedestrians,435
2024,Remaining,APR,Southern Border,TUCSON,AZ,"NOGALES, AZ (2604)",Land,Travelers,Trucks,43411
2022,FYTD,OCT,Southern Border,EL PASO,TX,"TORNILLO,TX (2404)",Land,Conveyances,Passenger Vehicles,26985
2025 (FYTD),FYTD,OCT,Northern Border,SEATTLE,ND,HECTOR INTERNATIONAL AIRPORT (3411),Air,Conveyances,Air,89
2023,Remaining,JUL,Northern Border,SEATTLE,WA,"SUMAS, WA (3009)",Land,Travelers,Passenger Vehicles,118432
2024,FYTD,NOV,Northern Border,SEATTLE,ND,"PORTAL, ND (3403)",Land,Travelers,Passenger Vehicles,9452
2022,Remaining,APR,Southern Border,EL PASO,NM,SANTA TERESA (2408),Land,Conveyances,Passenger Vehicles,57419
2025 (FYTD),FYTD,OCT,Northern Border,PORTLAND,AK,"ALCAN, AK (3104)",Land,Conveyances,Passenger Vehicles,1986
2022,Remaining,JAN,Coastal/Interior,CHICAGO,IL,"PEORIA, IL (3902)",Air,Travelers,Air,28
2024,FYTD,NOV,Northern Border,PORTLAND,AK,"ANCHORAGE, AK (3126)",Air,Conveyances,Air,2228
2022,FYTD,NOV,Northern Border,BOSTON,MA,"LOGAN AIRPORT, MA (0417)",Air,Travelers,Air,104251
2023,Remaining,MAY,Northern Border,SEATTLE,MT,"SWEETGRASS, MT (3310)",Land,Travelers,Pedestrians,1185
2023,Remaining,MAR,Coastal/Interior,TAMPA,FL,"JACKSONVILLE, FL (1803)",Air,Travelers,Air,1429
2025 (FYTD),FYTD,OCT,Northern Border,PORTLAND,OR,HILLSBORO AIRPORT (2983),Air,Travelers,Air,7
2024,Remaining,SEP,Coastal/Interior,BALTIMORE,DE,"WILMINGTON, DE (1103)",Air,Conveyances,Air,26
2024,Remaining,AUG,Coastal/Interior,LOS ANGELES,CA,SAN BERNARDINO U.F. ARPT (2782),Air,Travelers,Air,98
